Name,Name clean,Name clean Global,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Polka Dot Translations,polka dot translations,polka dot translations,GCAP33381,https://linktr.ee/polkadottranslations,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Terran Industries Pty Ltd,terran industries,terran industries,GCAP33432,https://terranindustries.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,Services,,31/08/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Agile 451,agile 451,agile 451,GCAP24482,https://www.agile451.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Ajax,ajax,ajax,GCAP24131,,,Canada,Western European and Others Group (WEOG),,,City,,,31/08/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
ALL TERRAIN TRAINING LTD,all terrain training,all terrain training,GCAP24679,http://www.allterraintraining.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Anton Dell,anton dell,anton dell,GCAP24660,http://www.antondell.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Centerprise International Ltd,centerprise,centerprise,GCAP24676,http://www.centerprise.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Climate Business,climate,climate,GCAP24727,https://www.climatebusiness.partners/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Create Architecture and Design,create architecture and design,create architecture design,GCAP24477,,,India,Asia-Pacific Group,,,SME,Infrastructure,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Edie Rose Ltd,edie rose,edie rose,GCAP24559,http://www.edierose.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Garanti Bank,garanti bank,garanti,,http://www.garantibank.com/,,Turkey,Western European and Others Group (WEOG),,,Financial Institution,,$64.87 billion,31/08/2021,,Own Website,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
HIVE ELECTRIC,hive electric,hive,GCAP24689,http://www.hive-electric.com,,France,Western European and Others Group (WEOG),,,SME,Power generation,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Lindström Group,lindström,lindström,GCAP22132,lindstromgroup.com,,Finland,Western European and Others Group (WEOG),,,Company,Apparel,,31/08/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Mspa Gift 4 all occasion's,mspa gift 4 all occasion's,mspa gift 4 all occasion's,GCAP24505,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
MSQ,msq,msq,GCAP23630,https://www.msqpartners.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,Own Website,Own Website,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Universal Networks Ltd,universal networks,universal networks,GCAP24500,https://www.universalnetworks.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
W BALL AND SON LTD,w ball and son,w ball,GCAP24461,http://www.baltex.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,31/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
D2i Management Ltd,d2i management,d2i management,GCAP33418,http://Www.d2imanagement.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Dal ehouse barn and B&B,dal ehouse barn and b&b,dal ehouse barn b&b,,http://www.dalehousebarn.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,31/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Oficina de Proyectos,oficina proyectos,oficina proyectos,GCAP22305,,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Other,,31/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
East London Fancophone Ltd,east london fancophone,east london fancophone,GCAP23272,https://eastlondonfltd.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Kofounderz Team Pvt Ltd,kofounderz team,kofounderz team,GCAP23270,http://www.kofounderzteam.com,,India,Asia-Pacific Group,,,SME,Other,,31/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Long-term Teachers,long-term teachers,long-term teachers,GCAP23273,http://www.longtermteachers.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Super Aqua Watercrafts Pvt ltd,super aqua watercrafts,super aqua watercrafts,GCAP23269,http://www%20eJal.com,,India,Asia-Pacific Group,,,SME,Other,,31/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Taiga Apparel (Pvt.) Limited,taiga apparel,taiga apparel,GCAP19810,https://www.taiga-apparel.com/sustainability/,,Pakistan,Asia-Pacific Group,,,Company,Apparel,,31/07/2021,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
WebHolism Ltd,webholism,webholism,GCAP23271,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Faurecia S.A.,faurecia sa,faurecia,,http://www.faurecia.com/en,969500F0VMZLK2IULV85,France,Western European and Others Group (WEOG),,,Company,Manufacturing,,31/07/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
World Archery Federation,world archery federation,world archery federation,,www.worldarchery.sport,,Switzerland,Western European and Others Group (WEOG),,,Other,,,31/07/2020,Other,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
Croda International Plc,croda,croda,,croda.com,2138004WCNBFJEEOXV26,United Kingdom,Western European and Others Group (WEOG),,,Company,Materials,,31/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
VIÑA CONCHA Y TORO,viña concha y toro,viña concha toro,GCAP2946,vinacyt.com,5493008GQ74NEYBVB518,Chile,Latin American and Caribbean Group (GRULAC),,,Company,"Food, beverage & agriculture",,31/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
ARMADURAS DE LAS SIERRAS,armaduras las sierras,armaduras las sierras,,,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Building services,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
BEINECOO,beinecoo,beinecoo,,,,India,Asia-Pacific Group,,,SME,Other manufacturing,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Brook Consultants Inc,brook consultants,brook consultants,,http://Brookvms.com,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Comite Olimpico Boliviano,comite olimpico boliviano,comite olimpico boliviano,,https://www.comiteolimpicoboliviano.org.bo/,,Bolivia,Latin American and Caribbean Group (GRULAC),,Under EUR 1 million,Company,,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
CRC (Tasktron Limited),crc tasktron,tasktron,,https://www.crc-tasktron.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other service activies,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Farmacias Puntarenas,farmacias puntarenas,farmacias puntarenas,,,,Costa Rica,Latin American and Caribbean Group (GRULAC),,,SME,Health and social work,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Fixfast Ltd,fixfast,fixfast,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hullabaloos Lemonade Ltd,hullabaloos lemonade,hullabaloos lemonade,,http://www.hullabaloos.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Beverage manufacturing,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
IBRIVER ENERGY,ibriver energy,ibriver energy,,,,India,Asia-Pacific Group,,,SME,Extraction of crude petroleum and natural gas,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Optimum Patient Care Global,optimum patient care global,optimum patient care global,,https://opcglobal.org/%20%20%20https://www.linkedin.com/company/optimum-pati,,United Kingdom,Western European and Others Group (WEOG),,,SME,Research and development,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,
Press & Starkey LLP,press starkey,press starkey,,http://www.pressandstarkey.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
SOL,sol,sol,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Valeport Limited,valeport,valeport,,https://www.valeport.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,31/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Ardo medical Ltd,ardo medical,ardo medical,GCAP33083,http://www.ardomedical.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
In4Trade Ltd,in4trade,in4trade,GCAP32999,http://www.in4trade.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Oops A Daisy Florist,oops a daisy florist,oops daisy florist,GCAP33093,http://www.oopsadaisyonline.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
SCI Construction Group,sci construction,construction,GCAP32853,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Gowanbank Hub,the gowanbank hub,gowanbank hub,GCAP32980,http://Www.thegbhub.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,31/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Big Sky Productions Ltd,big sky productions,big sky productions,GCAP21834,http://www.thebigsky.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
CLIMA-X UN SDG Projects Ltd,clima-x un sdg projects,clima-x un sdg projects,GCAP21626,http://www.linkedin.com/in/georgiosradoglou,,Nigeria,African Group,,,SME,Other,,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Climbing Trees,climbing trees,climbing trees,GCAP21991,www.climbingtrees.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2021,,Other,,Progress published in SME Climate Hub.,Sep-24,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ECOM Agroindustrial Corp Ltd,ecom agroindustrial,ecom agroindustrial,GCAP22174,https://www.ecomtrading.com/,QDKAGR3JUOYB2K885877,Switzerland,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Gartmore House,gartmore house,gartmore house,GCAP21868,http://Gartmorehouse.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
NDL Carpet Global Mathematics Enterprise,ndl carpet global mathematics,ndl carpet global mathematics,GCAP21661,https://www.iqcenter.net,,South Africa,African Group,,,SME,Services,,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The House of LM,the house of lm,house lm,GCAP21963,http://Www.thehouseoflm.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Vigan,vigan,vigan,GCAP22568,,,Philippines,Asia-Pacific Group,,,City,,,31/05/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
WS Audiology,ws audiology,ws audiology,GCAP22247,https://www.wsa.com/,529900BA070KIQTI5U94,Denmark,Western European and Others Group (WEOG),,,Company,"Biotech, health care & pharma",,31/05/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
"Yum China Holdings, Inc.",yum china,yum china,GCAP22248,,529900DO9BYZ7VA3K502,China,Asia-Pacific Group,,,Company,Hospitality,,31/05/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Aikya Investment Management,aikya investment management,aikya investment management,,,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,"£745,000,000.00",31/03/2023,,,,,Jul-24,,,,,,,,,,Yes,,,,,,,,,,,,,,,,
Cleardata UK Limited,cleardata uk,cleardata,,https://www.cleardatagroup.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,31/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ImmoTrad,immotrad,immotrad,,https://immotrad.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,31/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Nature Inspired Garden Design,nature inspired garden design,nature inspired garden design,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Building services,,31/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Swedish Space Corporation,swedish space,swedish space,,https://sscspace.com/,,Sweden,Western European and Others Group (WEOG),,,Company,Other,,31/03/2023,Own Website,,,,Jul-24,,,,Yes,,,,,,,,,,,,,,,,,,,,,,
ASR Group International Inc.,asr,asr,,https://www.asr-group.com/,5493003S3G1GLFLXGX69,United States of America,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,31/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
BARNWELL PRINT LTD,barnwell print,barnwell print,GCAP31280,https://barnwellprint.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Booking Holdings Inc.,booking,booking,,Bookingholdings.com,FXM8FAOHMYDIPD38UZ17,United States of America,Western European and Others Group (WEOG),,,Company,Hospitality,,31/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Computask Ltd,computask,computask,GCAP31266,http://computask.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Crannis Technology Services LTD,crannis technology services,crannis technology services,GCAP31273,http://www.crannistech.co.uk/%20Facebook/%20Twitter/%20LinkedIn,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
G&S Invest,g&s invest,g&s invest,,,,Denmark,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"Hankook Tire & Technology Co., Ltd.",hankook tire technology,hankook tire technology,,hankooktire.com,9884001BIEVM09M7AH02,South Korea,Asia-Pacific Group,,,Company,Manufacturing,,31/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Hospital Road Consultancy Ltd,hospital road consultancy,hospital road consultancy,GCAP31305,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
J&S Subsea ltd,j&s subsea,j&s subsea,,https://jands.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"Jia Hsin Co., Ltd",jia hsin,jia hsin,,www.jiahsin.com.vn; https://www.facebook.com/C%C3%B4ng-ty-TNHH-Jia-Hsin-101093302530267,,Vietnam,Asia-Pacific Group,,,Company,Apparel,,31/03/2022,,,,,Mar-24,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Kiilto,kiilto,kiilto,,kiilto.com,,Finland,Western European and Others Group (WEOG),,,Company,Materials,,31/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Lancashire County Council,lancashire county council,lancashire county council,GCAP31192,,,United Kingdom,Western European and Others Group (WEOG),,,City,,,31/03/2022,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Meridian Energy,meridian energy,meridian energy,,meridianenergy.co.nz,254900IFKXIGNCY3A092,New Zealand,Western European and Others Group (WEOG),,,Company,Power generation,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Newton Running Company,newton running,newton running,GCAP31523,http://newtonrunning.com,,United States of America,Western European and Others Group (WEOG),,,SME,Apparel,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Precision Marketing Group,precision marketing,precision marketing,GCAP31432,http://precision.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Simba Sleep,simba sleep,simba sleep,GCAP31310,http://simbasleep.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Sussex Community Dermatology Service Ltd,sussex community dermatology service,sussex dermatology,,http://www.sussexcds.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Taste Creative,taste creative,taste creative,GCAP31329,http://www.taste-creative.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Adirelounge,the adirelounge,adirelounge,,http://www.adirelounge.com,,Nigeria,African Group,,,SME,Retail,,31/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
CBD-ME Ltd,cbd-me,cbd-me,GCAP21187,https://CBD-Me.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
COOPER MOUNTAIN VINEYARDS,cooper mountain vineyards,cooper mountain vineyards,GCAP21250,http://www.coopermountainwine.com,,United States of America,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Enmas EPC Power Projects Limited,enmas epc power projects,enmas epc projects,GCAP21157,http://eepc.in,,India,Asia-Pacific Group,,,SME,Power generation,,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Reverberate Public Relations Limited,reverberate relations,reverberate relations,GCAP21227,http://www.reverberate-pr.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Turner family foundation,turner family,turner,GCAP21143,http://www.spicersretreats.com,,Australia,Western European and Others Group (WEOG),,,SME,Hospitality,,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Vera Cruz Tecnologia,vera cruz tecnologia,vera cruz tecnologia,GCAP21148,https://veracruzti.com.br,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,31/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
